batch,response_id,slot,original_filename,local_path,sha256,bytes,mime,bucket,storage_path,status,public_url,notes
1,8gagtpkhgg0qdu4bjewe08gagtp3lrds,portrait,Emmanuel_Owusu_Portrait__2.pdf,8gagtpkhgg0qdu4bjewe08gagtp3lrds/d2a467ec4297-Emmanuel_Owusu_Portrait__2.pdf,6201b9fb43b939dacbbb3fa0264464480ae1d5e1e5811d9c1eccbb89fe841e0c,1541529,application/pdf,cvs,typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/portrait.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/8gagtpkhgg0qdu4bjewe08gagtp3lrds/portrait.pdf,
1,8ira86go2iin35j96last8ira8y9kl9h,front,369bcf13_b4a1_4985_9640_c47a45cfa9d6.jpeg,8ira86go2iin35j96last8ira8y9kl9h/133277974d9a-369bcf13_b4a1_4985_9640_c47a45cfa9d6.jpeg,79e1b0468c9bebcb5a4c3178a831681a330b83548388336b5ac92a38fae34ffb,66183,image/jpeg,photos,typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/front.jpeg,
1,8ira86go2iin35j96last8ira8y9kl9h,rear,563358ed_4199_4b59_af82_ebde6c9ec648.jpeg,8ira86go2iin35j96last8ira8y9kl9h/878992f754bd-563358ed_4199_4b59_af82_ebde6c9ec648.jpeg,6f5bcbe578076a2de8f094d2dc555f8e742e43e31835a640046f7e7584ea4b47,57245,image/jpeg,photos,typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/rear.jpeg,
1,8ira86go2iin35j96last8ira8y9kl9h,cv,IMG_6226.jpeg,8ira86go2iin35j96last8ira8y9kl9h/b985ddb79f63-IMG_6226.jpeg,95980a29927b7810d8f5848ed2658fbf727e1c7970ad1cc058fa8f8c34ac88a2,1721246,image/jpeg,photos,typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/cv.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/cv.jpeg,"non-document in CV slot, routed to photos bucket"
1,8ira86go2iin35j96last8ira8y9kl9h,portrait,9c5095fe_f84a_4fcf_983f_c8df4502e7e1.jpeg,8ira86go2iin35j96last8ira8y9kl9h/e1f6fe20399f-9c5095fe_f84a_4fcf_983f_c8df4502e7e1.jpeg,a6e4fecc72111c4fde74f1b02cb74ce306e17443983782be31518188d1ff904a,18087,image/jpeg,photos,typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8ira86go2iin35j96last8ira8y9kl9h/portrait.jpeg,
1,8kfagstilbvohyvkmr8kfagued90wsu0,cv,Benjamin_Kwame_Ampah_CV.pdf,8kfagstilbvohyvkmr8kfagued90wsu0/77b09a7a936b-Benjamin_Kwame_Ampah_CV.pdf,18ec56e3a8b55caa841f1e1a3823bba3b23d546e7aa2f6752faa7a32b96e3494,190189,application/pdf,cvs,typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/cv.pdf,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/cvs/typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/cv.pdf,
1,8kfagstilbvohyvkmr8kfagued90wsu0,front,A0D40AA2_BE1F_48DC_8E61_6840D64CD960.jpeg,8kfagstilbvohyvkmr8kfagued90wsu0/7c76b1640743-A0D40AA2_BE1F_48DC_8E61_6840D64CD960.jpeg,c32107dd71b688bdf92d3b4628046c1692925fe76ae66e44f2625e48885d1aab,358192,image/jpeg,photos,typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/front.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/front.jpeg,
1,8kfagstilbvohyvkmr8kfagued90wsu0,portrait,BDC41AD7_0D7B_4903_BC30_145E90D9B6EB.jpeg,8kfagstilbvohyvkmr8kfagued90wsu0/9485e254ba75-BDC41AD7_0D7B_4903_BC30_145E90D9B6EB.jpeg,90f6bc5e45ebac7ea920a12ad5525af911b72b39355f3febe87832407113d647,3630238,image/jpeg,photos,typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/portrait.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/portrait.jpeg,
1,8kfagstilbvohyvkmr8kfagued90wsu0,rear,97CC77CC_8E5D_424F_96B8_35F62BA77EDB.jpeg,8kfagstilbvohyvkmr8kfagued90wsu0/c136061c2ed7-97CC77CC_8E5D_424F_96B8_35F62BA77EDB.jpeg,67ad18a90178fe53b531dc15e415c23a9243e8091b81376fdcd52696324eea77,104254,image/jpeg,photos,typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/rear.jpeg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8kfagstilbvohyvkmr8kfagued90wsu0/rear.jpeg,
1,8lelyeubgzgdydcccd68lelyeu4x03n8,portrait,Danny_Portrait.JPG,8lelyeubgzgdydcccd68lelyeu4x03n8/03116d572194-Danny_Portrait.JPG,a673218462b4458fe3e9cd2abb3137089c50cb0c81c0d5c0ab8f559c20e253b7,2187446,image/jpeg,photos,typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/portrait.jpg,uploaded,https://xqooctihpvswvibnhsbj.supabase.co/storage/v1/object/public/photos/typeform-2024/8lelyeubgzgdydcccd68lelyeu4x03n8/portrait.jpg,
